email_id,fecha_raw,asunto_raw,remitente,zona,texto_mail,thread_id
83,2025-03-12 00:00,Re: Re: falta producto,cliente@gmail.com,José C. Paz,"No es la primera vez que pasa esto. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1074
84,2025/05/27,RECLAMO pedido no llego,cliente123@outlook.com,San Miguel,"Espero una pronta respuesta. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1075
85,2025-05-03 00:00,Problema con el repartidor,cliente@gmail.com,Malvinas Argentinas,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Muy mal servicio.",1076
86,2025/05/25,Re: Re: falta producto,cliente@gmail.com,Tigre,Aguardo solución urgente. Muy mal servicio.,1076
87,"May 14, 2025",Queja repartidor,cliente123@outlook.com,San Miguel,Aguardo solución urgente. Muy mal servicio. No es la primera vez que pasa esto.,1077
88,2025-06-06 00:00,Pedido NO entregado!!!,usuario@yahoo.com,Tigre,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Aguardo solución urgente.",1078
89,2025-05-22 00:00,Pedido incompleto,usuario@yahoo.com,Vicente López,Muy mal servicio. Aguardo solución urgente. No es la primera vez que pasa esto.,1079
90,2025/03/01,Pedido NO entregado!!!,reclamos@hotmail.com,San Miguel,No es la primera vez que pasa esto. Espero una pronta respuesta.,1080
91,2025-04-19 00:00,MAL SERVICIO,usuario@yahoo.com,San Fernando,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1081
92,2025/03/20,Pedido incompleto,cliente123@outlook.com,San Isidro,Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto.,1082
93,2025-04-23 00:00,Servicio pésimo,cliente@gmail.com,Malvinas Argentinas,"Espero una pronta respuesta. Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1083
94,2025-06-22 00:00,Queja repartidor,reclamos@hotmail.com,Vicente López,Muy mal servicio. Aguardo solución urgente.,1084
95,"Feb 16, 2025",Problema con el repartidor,cliente123@outlook.com,San Isidro,Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto.,1085
96,2025-06-21 00:00,Cobro incorrecto,usuario@yahoo.com,San Martín,Muy mal servicio. Espero una pronta respuesta. Aguardo solución urgente.,1086
97,2025-05-21 00:00,No recibí mi pedido,cliente123@outlook.com,San Isidro,"Espero una pronta respuesta. Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1087
98,2025-05-12 00:00,No recibí mi pedido,cliente123@outlook.com,Malvinas Argentinas,No es la primera vez que pasa esto. Espero una pronta respuesta.,1088
99,"Jun 10, 2025",Servicio pésimo,cliente@gmail.com,Tigre,Aguardo solución urgente. No es la primera vez que pasa esto. Muy mal servicio.,1089
100,"Jun 28, 2025",Demora nuevamente,cliente@gmail.com,Vicente López,"Aguardo solución urgente. No es la primera vez que pasa esto. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1090
101,2025-05-22 00:00,Error en la factura,cliente123@outlook.com,San Isidro,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1091
102,15/06/25,Entrega tarde otra vez,cliente123@outlook.com,Escobar,Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto. Aguardo solución urgente.,1092
103,27/04/25,Queja repartidor,cliente123@outlook.com,Tigre,"Aguardo solución urgente. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1093
104,2025/03/29,Re: Pedido incompleto,cliente@gmail.com,Escobar,"Espero una pronta respuesta. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto.",1093
105,2025/03/30,Servicio pésimo,cliente123@outlook.com,San Miguel,No es la primera vez que pasa esto. Aguardo solución urgente. Espero una pronta respuesta.,1094
106,"Mar 01, 2025",No recibí mi pedido,cliente@gmail.com,San Martín,"Muy mal servicio. Aguardo solución urgente. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1095
107,10/01/25,Servicio pésimo,reclamos@hotmail.com,San Isidro,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio. Aguardo solución urgente.",1096
108,15/04/25,Re: Re: falta producto,cliente@gmail.com,San Miguel,Espero una pronta respuesta. Muy mal servicio. Aguardo solución urgente.,1096
109,"Mar 26, 2025",Demora en entrega,reclamos@hotmail.com,San Miguel,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Muy mal servicio. No es la primera vez que pasa esto.",1097
110,"Jan 24, 2025",Queja repartidor,cliente@gmail.com,San Isidro,"No es la primera vez que pasa esto. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1098
111,2025-03-25 00:00,Pedido NO entregado!!!,reclamos@hotmail.com,San Martín,"Muy mal servicio. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1099
112,25/05/25,Re: Pedido incompleto,usuario@yahoo.com,San Fernando,Aguardo solución urgente. Muy mal servicio.,1099
113,08/05/25,Queja repartidor,usuario@yahoo.com,San Miguel,"Espero una pronta respuesta. Muy mal servicio. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1100
114,15/03/25,Demora nuevamente,cliente@gmail.com,San Miguel,Aguardo solución urgente. Espero una pronta respuesta. Muy mal servicio.,1101
115,2025/06/26,Re: Pedido incompleto,cliente123@outlook.com,Escobar,Muy mal servicio. Aguardo solución urgente.,1101
116,"Mar 02, 2025",Entrega tarde otra vez,reclamos@hotmail.com,Escobar,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. No es la primera vez que pasa esto.",1102
117,2025-01-03 00:00,Problema con el repartidor,cliente123@outlook.com,Escobar,Aguardo solución urgente. Espero una pronta respuesta.,1103
118,12/06/25,Queja repartidor,reclamos@hotmail.com,San Fernando,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. No es la primera vez que pasa esto. Espero una pronta respuesta.",1104
119,2025/05/29,Pedido NO entregado!!!,usuario@yahoo.com,San Isidro,"Espero una pronta respuesta. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1105
120,2025/02/03,MAL SERVICIO,reclamos@hotmail.com,San Fernando,Muy mal servicio. Espero una pronta respuesta. Aguardo solución urgente.,1106
121,"Jan 30, 2025",Cobro incorrecto,cliente@gmail.com,San Fernando,Muy mal servicio. Espero una pronta respuesta.,1107
122,2025-04-12 00:00,Demora en entrega,reclamos@hotmail.com,José C. Paz,Muy mal servicio. Espero una pronta respuesta.,1108
123,"May 30, 2025",Problema con el repartidor,reclamos@hotmail.com,San Isidro,"No es la primera vez que pasa esto. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente.",1109
124,2025-06-15 00:00,Queja repartidor,cliente123@outlook.com,Escobar,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Espero una pronta respuesta.",1110
125,"Mar 19, 2025",Pedido NO entregado!!!,cliente@gmail.com,San Isidro,Aguardo solución urgente. No es la primera vez que pasa esto.,1111
126,2025/04/27,No recibí mi pedido,cliente123@outlook.com,San Fernando,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio. Espero una pronta respuesta.",1112
127,2025-03-13 00:00,Re: Pedido incompleto,reclamos@hotmail.com,Tigre,Muy mal servicio. No es la primera vez que pasa esto. Aguardo solución urgente.,1112
128,2025/06/25,Entrega tarde otra vez,reclamos@hotmail.com,Vicente López,"Espero una pronta respuesta. No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido.",1113
129,24/01/25,Demora nuevamente,cliente@gmail.com,Vicente López,No es la primera vez que pasa esto. Aguardo solución urgente. Espero una pronta respuesta.,1114
130,18/01/25,MAL SERVICIO,usuario@yahoo.com,Tigre,"No es la primera vez que pasa esto. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente.",1115
131,2025/02/03,Re: Re: falta producto,usuario@yahoo.com,San Isidro,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Aguardo solución urgente. Muy mal servicio.",1115
132,2025/05/31,Queja repartidor,cliente@gmail.com,San Fernando,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Espero una pronta respuesta.",1116
133,2025-05-15 00:00,Re: Pedido incompleto,cliente@gmail.com,San Miguel,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto.",1116
134,2025-06-07 00:00,Queja repartidor,reclamos@hotmail.com,San Miguel,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. No es la primera vez que pasa esto. Espero una pronta respuesta.",1117
135,2025-06-25 00:00,Re: Pedido incompleto,cliente123@outlook.com,San Miguel,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta.",1117
136,17/01/25,Re: Re: falta producto,reclamos@hotmail.com,José C. Paz,Espero una pronta respuesta. Muy mal servicio. Aguardo solución urgente. No es la primera vez que pasa esto.,1117
137,"May 10, 2025",Demora nuevamente,cliente@gmail.com,San Isidro,Aguardo solución urgente. No es la primera vez que pasa esto. Muy mal servicio. Espero una pronta respuesta.,1118
138,2025/04/16,Queja repartidor,cliente123@outlook.com,Malvinas Argentinas,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. No es la primera vez que pasa esto.",1119
139,2025/06/20,Cobro incorrecto,reclamos@hotmail.com,San Fernando,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Espero una pronta respuesta.",1120
140,2025-04-21 00:00,Demora en entrega,reclamos@hotmail.com,San Fernando,"Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. Muy mal servicio. Aguardo solución urgente.",1121
141,"Apr 01, 2025",Re: Pedido incompleto,cliente@gmail.com,Escobar,"Espero una pronta respuesta. Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio.",1121
142,"Jun 18, 2025",Re: Re: falta producto,usuario@yahoo.com,San Isidro,"Aguardo solución urgente. Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido.",1121
143,27/05/25,Problema con el repartidor,cliente123@outlook.com,José C. Paz,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. Espero una pronta respuesta. No es la primera vez que pasa esto.",1122
144,2025/02/16,RECLAMO pedido no llego,reclamos@hotmail.com,San Martín,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Aguardo solución urgente.",1123
145,18/01/25,No recibí mi pedido,cliente@gmail.com,San Isidro,Aguardo solución urgente. No es la primera vez que pasa esto. Muy mal servicio. Espero una pronta respuesta.,1124
146,29/03/25,Demora nuevamente,reclamos@hotmail.com,Escobar,"Espero una pronta respuesta. Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio. Aguardo solución urgente.",1125
147,2025-06-08 00:00,Pedido incompleto,cliente@gmail.com,Escobar,Muy mal servicio. Aguardo solución urgente. Espero una pronta respuesta.,1126
148,2025/04/17,Demora nuevamente,usuario@yahoo.com,José C. Paz,Espero una pronta respuesta. Muy mal servicio.,1127
149,"Mar 14, 2025",Entrega tarde otra vez,reclamos@hotmail.com,Vicente López,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1128
150,2025/02/22,RECLAMO pedido no llego,usuario@yahoo.com,San Fernando,"Espero una pronta respuesta. Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1129
151,"May 08, 2025",RECLAMO pedido no llego,usuario@yahoo.com,San Fernando,Aguardo solución urgente. No es la primera vez que pasa esto. Espero una pronta respuesta.,1130
152,"Jan 19, 2025",Reclamo por cobro,cliente@gmail.com,Malvinas Argentinas,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1131
153,"May 28, 2025",Cobro incorrecto,cliente123@outlook.com,Malvinas Argentinas,"Buenas, escribo para reclamar por un problema con mi pedido. Muy mal servicio. Aguardo solución urgente.",1132
154,"Feb 13, 2025",Cobro incorrecto,reclamos@hotmail.com,San Isidro,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Muy mal servicio.",1133
155,2025-05-15 00:00,No recibí mi pedido,cliente123@outlook.com,Escobar,"Espero una pronta respuesta. No es la primera vez que pasa esto. Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1134
156,2025-05-11 00:00,Demora en entrega,usuario@yahoo.com,San Martín,"No es la primera vez que pasa esto. Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido.",1135
157,07/03/25,Re: Re: falta producto,usuario@yahoo.com,San Fernando,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Espero una pronta respuesta. Muy mal servicio.",1135
158,"May 25, 2025",Demora nuevamente,reclamos@hotmail.com,San Martín,"Muy mal servicio. Buenas, escribo para reclamar por un problema con mi pedido.",1136
159,2025/04/24,Servicio pésimo,reclamos@hotmail.com,Vicente López,"Aguardo solución urgente. Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto.",1137
160,2025-04-26 00:00,Demora nuevamente,cliente@gmail.com,San Martín,"Buenas, escribo para reclamar por un problema con mi pedido. Aguardo solución urgente. Espero una pronta respuesta.",1138
161,2025-04-29 00:00,No recibí mi pedido,cliente123@outlook.com,Tigre,Aguardo solución urgente. Muy mal servicio. Espero una pronta respuesta.,1139
162,"Jan 16, 2025",Re: Re: falta producto,cliente@gmail.com,San Martín,"Buenas, escribo para reclamar por un problema con mi pedido. No es la primera vez que pasa esto. Aguardo solución urgente. Espero una pronta respuesta.",1139
163,23/04/25,Demora nuevamente,reclamos@hotmail.com,San Martín,Muy mal servicio. Aguardo solución urgente. No es la primera vez que pasa esto.,1140
164,2025/06/11,Pedido NO entregado!!!,cliente@gmail.com,San Martín,Aguardo solución urgente. Muy mal servicio.,1141
165,06/03/25,Error en la factura,reclamos@hotmail.com,San Isidro,No es la primera vez que pasa esto. Espero una pronta respuesta. Aguardo solución urgente. Muy mal servicio.,1142
